"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1986,54803,"Recreational","Socioeconomic","total_recreational_catch_n","n","FINETOOTH SHARK"
"2",2018,20,"Recreational","Socioeconomic","total_recreational_catch_n","n","FINETOOTH SHARK"
"3",2020,55,"Recreational","Socioeconomic","total_recreational_catch_n","n","FINETOOTH SHARK"
"4",2022,35,"Recreational","Socioeconomic","total_recreational_catch_n","n","FINETOOTH SHARK"
